Scenario,N_Effective,Score_Scale_Max,Confidence_Level,Raw_Score,Score_Percent,Lower_Limit_Percent,Upper_Limit_Percent
WW_10,10,10,0.8,0,0,0,10
WW_10,10,10,0.8,1,10,0,30
WW_10,10,10,0.8,2,20,10,40
WW_10,10,10,0.8,3,30,10,50
WW_10,10,10,0.8,4,40,20,60
WW_10,10,10,0.8,5,50,30,70
WW_10,10,10,0.8,6,60,40,80
WW_10,10,10,0.8,7,70,50,90
WW_10,10,10,0.8,8,80,60,90
WW_10,10,10,0.8,9,90,70,100
WW_10,10,10,0.8,10,100,90,100
WW_25,25,25,0.8,0,0,0,4
WW_25,25,25,0.8,1,4,0,12
WW_25,25,25,0.8,2,8,4,20
WW_25,25,25,0.8,3,12,4,24
WW_25,25,25,0.8,4,16,8,28
WW_25,25,25,0.8,5,20,8,32
WW_25,25,25,0.8,6,24,12,40
WW_25,25,25,0.8,7,28,16,44
WW_25,25,25,0.8,8,32,20,48
WW_25,25,25,0.8,9,36,24,52
WW_25,25,25,0.8,10,40,24,56
WW_25,25,25,0.8,11,44,28,60
WW_25,25,25,0.8,12,48,32,64
WW_25,25,25,0.8,13,52,36,68
WW_25,25,25,0.8,14,56,40,72
WW_25,25,25,0.8,15,60,44,76
WW_25,25,25,0.8,16,64,48,80
WW_25,25,25,0.8,17,68,52,80
WW_25,25,25,0.8,18,72,56,84
WW_25,25,25,0.8,19,76,60,88
WW_25,25,25,0.8,20,80,64,92
WW_25,25,25,0.8,21,84,72,92
WW_25,25,25,0.8,22,88,76,96
WW_25,25,25,0.8,23,92,80,96
WW_25,25,25,0.8,24,96,88,100
WW_25,25,25,0.8,25,100,96,100
Phoneme_10,25,30,0.8,0,0,0,3.3
Phoneme_10,25,30,0.8,1,3.3,0,10
Phoneme_10,25,30,0.8,2,6.7,3.3,16.7
Phoneme_10,25,30,0.8,3,10,3.3,20
Phoneme_10,25,30,0.8,4,13.3,6.7,26.7
Phoneme_10,25,30,0.8,5,16.7,6.7,30
Phoneme_10,25,30,0.8,6,20,10,33.3
Phoneme_10,25,30,0.8,7,23.3,13.3,36.7
Phoneme_10,25,30,0.8,8,26.7,13.3,43.3
Phoneme_10,25,30,0.8,9,30,16.7,46.7
Phoneme_10,25,30,0.8,10,33.3,20,50
Phoneme_10,25,30,0.8,11,36.7,23.3,53.3
Phoneme_10,25,30,0.8,12,40,26.7,56.7
Phoneme_10,25,30,0.8,13,43.3,26.7,60
Phoneme_10,25,30,0.8,14,46.7,30,63.3
Phoneme_10,25,30,0.8,15,50,33.3,66.7
Phoneme_10,25,30,0.8,16,53.3,36.7,70
Phoneme_10,25,30,0.8,17,56.7,40,73.3
Phoneme_10,25,30,0.8,18,60,43.3,73.3
Phoneme_10,25,30,0.8,19,63.3,46.7,76.7
Phoneme_10,25,30,0.8,20,66.7,50,80
Phoneme_10,25,30,0.8,21,70,53.3,83.3
Phoneme_10,25,30,0.8,22,73.3,56.7,86.7
Phoneme_10,25,30,0.8,23,76.7,63.3,86.7
Phoneme_10,25,30,0.8,24,80,66.7,90
Phoneme_10,25,30,0.8,25,83.3,70,93.3
Phoneme_10,25,30,0.8,26,86.7,73.3,93.3
Phoneme_10,25,30,0.8,27,90,80,96.7
Phoneme_10,25,30,0.8,28,93.3,83.3,96.7
Phoneme_10,25,30,0.8,29,96.7,90,100
Phoneme_10,25,30,0.8,30,100,96.7,100
WW_50,50,50,0.8,0,0,0,2
WW_50,50,50,0.8,1,2,0,6
WW_50,50,50,0.8,2,4,2,10
WW_50,50,50,0.8,3,6,2,12
WW_50,50,50,0.8,4,8,4,16
WW_50,50,50,0.8,5,10,4,18
WW_50,50,50,0.8,6,12,6,20
WW_50,50,50,0.8,7,14,8,22
WW_50,50,50,0.8,8,16,8,26
WW_50,50,50,0.8,9,18,10,28
WW_50,50,50,0.8,10,20,12,30
WW_50,50,50,0.8,11,22,14,32
WW_50,50,50,0.8,12,24,16,34
WW_50,50,50,0.8,13,26,16,36
WW_50,50,50,0.8,14,28,18,40
WW_50,50,50,0.8,15,30,20,42
WW_50,50,50,0.8,16,32,22,44
WW_50,50,50,0.8,17,34,24,46
WW_50,50,50,0.8,18,36,26,48
WW_50,50,50,0.8,19,38,28,50
WW_50,50,50,0.8,20,40,28,52
WW_50,50,50,0.8,21,42,30,54
