#,Word,Phonemes,Transcription
1,Touch,3,/t ʌ ʧ/
2,Life,3,/l aɪ f/
3,Fit,3,/f ɪ t/
4,Sum,3,/s ʌ m/
5,Shoes,3,/ʃ u z/
6,Neck,3,/n ɛ k/
7,Mouth,3,/m aʊ θ/
8,Deep,3,/d i p/
9,Pass,3,/p æ s/
10,Choice,3,/ʧ ɔɪ s/
11,Note,3,/n oʊ t/
12,Bath,3,/b æ θ/
13,Ship,3,/ʃ ɪ p/
14,Kiss,3,/k ɪ s/
15,Reach,3,/r i ʧ/
16,Fuss,3,/f ʌ s/
17,Beef,3,/b i f/
18,Case,3,/k eɪ s/
19,Wish,3,/w ɪ ʃ/
20,Dip,3,/d ɪ p/
21,Take,3,/t eɪ k/
22,Size,3,/s aɪ z/
23,Match,3,/m æ ʧ/
24,Tooth,3,/t u θ/
25,Bush,3,/b ʊ ʃ/
