"List_Config","Confidence","Score_Raw","Score_Percent","Lower_Limit_Raw","Upper_Limit_Raw","Lower_Limit_Percent","Upper_Limit_Percent"
"1_List_30Words",0.8,0,0,0,3,0,10
"1_List_30Words",0.8,1,3.3,0,5,0,16.7
"1_List_30Words",0.8,2,6.7,0,7,0,23.3
"1_List_30Words",0.8,3,10,0,8,0,26.7
"1_List_30Words",0.8,4,13.3,1,10,3.3,33.3
"1_List_30Words",0.8,5,16.7,1,11,3.3,36.7
"1_List_30Words",0.8,6,20,2,12,6.7,40
"1_List_30Words",0.8,7,23.3,2,13,6.7,43.3
"1_List_30Words",0.8,8,26.7,3,15,10,50
"1_List_30Words",0.8,9,30,4,16,13.3,53.3
"1_List_30Words",0.8,10,33.3,4,17,13.3,56.7
"1_List_30Words",0.8,11,36.7,5,18,16.7,60
"1_List_30Words",0.8,12,40,6,19,20,63.3
"1_List_30Words",0.8,13,43.3,7,20,23.3,66.7
"1_List_30Words",0.8,14,46.7,8,21,26.7,70
"1_List_30Words",0.8,15,50,8,22,26.7,73.3
"1_List_30Words",0.8,16,53.3,9,22,30,73.3
"1_List_30Words",0.8,17,56.7,10,23,33.3,76.7
"1_List_30Words",0.8,18,60,11,24,36.7,80
"1_List_30Words",0.8,19,63.3,12,25,40,83.3
"1_List_30Words",0.8,20,66.7,13,26,43.3,86.7
"1_List_30Words",0.8,21,70,14,26,46.7,86.7
"1_List_30Words",0.8,22,73.3,15,27,50,90
"1_List_30Words",0.8,23,76.7,17,28,56.7,93.3
"1_List_30Words",0.8,24,80,18,28,60,93.3
"1_List_30Words",0.8,25,83.3,19,29,63.3,96.7
"1_List_30Words",0.8,26,86.7,20,29,66.7,96.7
"1_List_30Words",0.8,27,90,22,30,73.3,100
"1_List_30Words",0.8,28,93.3,23,30,76.7,100
"1_List_30Words",0.8,29,96.7,25,30,83.3,100
"1_List_30Words",0.8,30,100,27,30,90,100
"1_List_30Words",0.95,0,0,0,6,0,20
"1_List_30Words",0.95,1,3.3,0,9,0,30
"1_List_30Words",0.95,2,6.7,0,10,0,33.3
"1_List_30Words",0.95,3,10,0,12,0,40
"1_List_30Words",0.95,4,13.3,0,13,0,43.3
"1_List_30Words",0.95,5,16.7,0,15,0,50
"1_List_30Words",0.95,6,20,0,16,0,53.3
"1_List_30Words",0.95,7,23.3,1,17,3.3,56.7
"1_List_30Words",0.95,8,26.7,1,18,3.3,60
"1_List_30Words",0.95,9,30,1,19,3.3,63.3
"1_List_30Words",0.95,10,33.3,2,20,6.7,66.7
"1_List_30Words",0.95,11,36.7,3,21,10,70
"1_List_30Words",0.95,12,40,3,22,10,73.3
"1_List_30Words",0.95,13,43.3,4,23,13.3,76.7
"1_List_30Words",0.95,14,46.7,5,24,16.7,80
"1_List_30Words",0.95,15,50,5,25,16.7,83.3
"1_List_30Words",0.95,16,53.3,6,25,20,83.3
"1_List_30Words",0.95,17,56.7,7,26,23.3,86.7
"1_List_30Words",0.95,18,60,8,27,26.7,90
"1_List_30Words",0.95,19,63.3,9,27,30,90
"1_List_30Words",0.95,20,66.7,10,28,33.3,93.3
"1_List_30Words",0.95,21,70,11,29,36.7,96.7
"1_List_30Words",0.95,22,73.3,12,29,40,96.7
"1_List_30Words",0.95,23,76.7,13,29,43.3,96.7
"1_List_30Words",0.95,24,80,14,30,46.7,100
"1_List_30Words",0.95,25,83.3,15,30,50,100
"1_List_30Words",0.95,26,86.7,17,30,56.7,100
"1_List_30Words",0.95,27,90,18,30,60,100
"1_List_30Words",0.95,28,93.3,20,30,66.7,100
"1_List_30Words",0.95,29,96.7,21,30,70,100
"1_List_30Words",0.95,30,100,24,30,80,100
"2_Lists_60Words",0.8,0,0,0,3,0,5
"2_Lists_60Words",0.8,1,1.7,0,5,0,8.3
"2_Lists_60Words",0.8,2,3.3,0,7,0,11.7
"2_Lists_60Words",0.8,3,5,0,9,0,15
"2_Lists_60Words",0.8,4,6.7,1,10,1.7,16.7
"2_Lists_60Words",0.8,5,8.3,1,12,1.7,20
"2_Lists_60Words",0.8,6,10,2,13,3.3,21.7
"2_Lists_60Words",0.8,7,11.7,2,15,3.3,25
"2_Lists_60Words",0.8,8,13.3,3,16,5,26.7
"2_Lists_60Words",0.8,9,15,3,17,5,28.3
"2_Lists_60Words",0.8,10,16.7,4,18,6.7,30
"2_Lists_60Words",0.8,11,18.3,5,20,8.3,33.3
"2_Lists_60Words",0.8,12,20,5,21,8.3,35
"2_Lists_60Words",0.8,13,21.7,6,22,10,36.7
"2_Lists_60Words",0.8,14,23.3,7,23,11.7,38.3
"2_Lists_60Words",0.8,15,25,7,24,11.7,40
"2_Lists_60Words",0.8,16,26.7,8,26,13.3,43.3
"2_Lists_60Words",0.8,17,28.3,9,27,15,45
"2_Lists_60Words",0.8,18,30,10,28,16.7,46.7
"2_Lists_60Words",0.8,19,31.7,11,29,18.3,48.3
"2_Lists_60Words",0.8,20,33.3,11,30,18.3,50
