List,Number,Word,Filename
1C,1,check,01_check.wav
1C,2,push,02_push.wav
1C,3,case,03_case.wav
1C,4,sit,04_sit.wav
1C,5,thumb,05_thumb.wav
1C,6,shape,06_shape.wav
1C,7,youth,07_youth.wav
1C,8,face,08_face.wav
1C,9,gas,09_gas.wav
1C,10,teach,10_teach.wav
1C,11,safe,11_safe.wav
1C,12,hiss,12_hiss.wav
1C,13,bus,13_bus.wav
1C,14,chief,14_chief.wav
1C,15,path,15_path.wav
1C,16,vote,16_vote.wav
1C,17,rich,17_rich.wav
1C,18,catch,18_catch.wav
1C,19,keep,19_keep.wav
1C,20,fish,20_fish.wav
1C,21,south,21_south.wav
1C,22,choose,22_choose.wav
1C,23,tip,23_tip.wav
1C,24,shake,24_shake.wav
1C,25,noise,25_noise.wav
2C,1,touch,01_touch.wav
2C,2,life,02_life.wav
2C,3,fit,03_fit.wav
2C,4,sum,04_sum.wav
2C,5,task,05_task.wav
2C,6,neck,06_neck.wav
2C,7,mouth,07_mouth.wav
2C,8,deep,08_deep.wav
2C,9,pass,09_pass.wav
2C,10,choice,10_choice.wav
2C,11,note,11_note.wav
2C,12,bath,12_bath.wav
2C,13,ship,13_ship.wav
2C,14,kiss,14_kiss.wav
2C,15,reach,15_reach.wav
2C,16,shout,16_shout.wav
2C,17,beef,17_beef.wav
2C,18,case,18_case.wav
2C,19,wish,19_wish.wav
2C,20,dip,20_dip.wav
2C,21,take,21_take.wav
2C,22,size,22_size.wav
2C,23,match,23_match.wav
2C,24,tooth,24_tooth.wav
2C,25,bush,25_bush.wav
3C,1,fight,01_fight.wav
3C,2,tough,02_tough.wav
3C,3,moss,03_moss.wav
3C,4,pitch,04_pitch.wav
3C,5,chess,05_chess.wav
3C,6,thick,06_thick.wav
3C,7,sheet,07_sheet.wav
3C,8,chase,08_chase.wav
3C,9,sat,09_sat.wav
3C,10,shock,10_shock.wav
3C,11,booth,11_booth.wav
3C,12,vice,12_vice.wav
3C,13,sip,13_sip.wav
3C,14,chip,14_chip.wav
3C,15,sake,15_sake.wav
3C,16,sack,16_sack.wav
3C,17,shop,17_shop.wav
3C,18,mesh,18_mesh.wav
3C,19,peak,19_peak.wav
3C,20,set,20_set.wav
3C,21,sight,21_sight.wav
3C,22,shoes,22_shoes.wav
3C,23,sick,23_sick.wav
3C,24,hush,24_hush.wav
3C,25,fetch,25_fetch.wav
4C,1,back,01_back.wav
4C,2,chop,02_chop.wav
4C,3,thud,03_thud.wav
4C,4,cash,04_cash.wav
4C,5,thief,05_thief.wav
4C,6,dash,06_dash.wav
4C,7,such,07_such.wav
4C,8,tight,08_tight.wav
4C,9,poach,09_poach.wav
4C,10,both,10_both.wav
4C,11,posh,11_posh.wav
4C,12,shoot,12_shoot.wav
4C,13,chat,13_chat.wav
4C,14,vase,14_vase.wav
4C,15,pick,15_pick.wav
4C,16,roof,16_roof.wav
4C,17,hash,17_hash.wav
4C,18,hatch,18_hatch.wav
4C,19,mush,19_mush.wav
4C,20,loss,20_loss.wav
4C,21,side,21_side.wav
4C,22,shack,22_shack.wav
4C,23,soup,23_soup.wav
4C,24,shot,24_shot.wav
4C,25,seek,25_seek.wav
