List,Number,Word,Filename
1D,1,check,01_check.wav
1D,2,push,02_push.wav
1D,3,case,03_case.wav
1D,4,sit,04_sit.wav
1D,6,shape,06_shape.wav
1D,7,youth,07_youth.wav
1D,8,face,08_face.wav
1D,9,gas,09_gas.wav
1D,10,teach,10_teach.wav
1D,11,posh,11_posh.wav
1D,11,safe,11_safe.wav
1D,12,hiss,12_hiss.wav
1D,13,bus,13_bus.wav
1D,14,chief,14_chief.wav
1D,15,path,15_path.wav
1D,16,vote,16_vote.wav
1D,17,rich,17_rich.wav
1D,18,catch,18_catch.wav
1D,19,keep,19_keep.wav
1D,20,fish,20_fish.wav
1D,21,south,21_south.wav
1D,22,choose,22_choose.wav
1D,23,tip,23_tip.wav
1D,24,shake,24_shake.wav
1D,25,noise,25_noise.wav
2D,1,touch,01_touch.wav
2D,2,life,02_life.wav
2D,3,fit,03_fit.wav
2D,4,sum,04_sum.wav
2D,5,toss,05_toss.wav
2D,6,neck,06_neck.wav
2D,7,mouth,07_mouth.wav
2D,8,deep,08_deep.wav
2D,9,pass,09_pass.wav
2D,10,choice,10_choice.wav
2D,11,note,11_note.wav
2D,12,bath,12_bath.wav
2D,13,ship,13_ship.wav
2D,14,kiss,14_kiss.wav
2D,14,vase,14_vase.wav
2D,15,reach,15_reach.wav
2D,16,shout,16_shout.wav
2D,17,beef,17_beef.wav
2D,18,pace,18_pace.wav
2D,19,wish,19_wish.wav
2D,20,dip,20_dip.wav
2D,21,take,21_take.wav
2D,23,match,23_match.wav
2D,24,tooth,24_tooth.wav
2D,25,bush,25_bush.wav
3D,1,fight,01_fight.wav
3D,2,tough,02_tough.wav
3D,3,moss,03_moss.wav
3D,4,pitch,04_pitch.wav
3D,5,chess,05_chess.wav
3D,6,thick,06_thick.wav
3D,7,sheet,07_sheet.wav
3D,8,chase,08_chase.wav
3D,9,pack,09_pack.wav
3D,10,shock,10_shock.wav
3D,11,booth,11_booth.wav
3D,12,vice,12_vice.wav
3D,13,sip,13_sip.wav
3D,14,chip,14_chip.wav
3D,15,sake,15_sake.wav
3D,16,sack,16_sack.wav
3D,17,shop,17_shop.wav
3D,18,mesh,18_mesh.wav
3D,19,peak,19_peak.wav
3D,20,set,20_set.wav
3D,21,sight,21_sight.wav
3D,22,shoes,22_shoes.wav
3D,23,sick,23_sick.wav
3D,24,hush,24_hush.wav
3D,25,fetch,25_fetch.wav
4D,1,back,01_back.wav
4D,2,chop,02_chop.wav
4D,3,thud,03_thud.wav
4D,4,cash,04_cash.wav
4D,5,thief,05_thief.wav
4D,5,thumb,05_thumb.wav
4D,6,dash,06_dash.wav
4D,7,such,07_such.wav
4D,8,tight,08_tight.wav
4D,9,poach,09_poach.wav
4D,10,both,10_both.wav
4D,12,shoot,12_shoot.wav
4D,13,chat,13_chat.wav
4D,15,pick,15_pick.wav
4D,16,roof,16_roof.wav
4D,17,hash,17_hash.wav
4D,18,hatch,18_hatch.wav
4D,19,mush,19_mush.wav
4D,20,loss,20_loss.wav
4D,21,side,21_side.wav
4D,22,shack,22_shack.wav
4D,22,size,22_size.wav
4D,23,soup,23_soup.wav
4D,24,shot,24_shot.wav
4D,25,seek,25_seek.wav
